Speed,Distance,Throttle,Brake,DRS,RPM
262,0.0,99,False,8,11347
263,1.315,99,False,8,11152
265,2.419166666666667,99,False,8,10761
271,20.48583333333333,99,False,8,10869
275,35.7636111111111,100,False,8,11016
276,36.14694444444444,99,False,8,11062
277,53.07472222222221,99,False,8,11108
278,54.233055555555545,99,False,8,11154
280,74.84416666666665,99,False,8,11252
283,82.3122222222222,99,False,8,11351
285,92.20805555555552,99,False,8,11435
287,104.96361111111108,99,False,8,11520
289,114.19555555555552,99,False,8,11605
290,127.08444444444442,99,False,8,11632
291,127.5694444444444,99,False,8,11679
292,145.41388888888886,99,False,8,11726
293,153.06444444444443,99,False,14,11773
294,168.2544444444444,99,False,14,11179
296,175.98333333333332,99,False,12,10586
298,191.38,99,False,12,10650
300,192.54666666666665,99,False,12,10715
302,211.5055555555556,99,False,12,10768
304,219.44333333333333,99,False,12,10821
305,231.81277777777777,99,False,12,10848
307,232.92138888888888,99,False,12,10875
308,245.4980555555556,99,False,12,10955
309,246.61388888888888,99,False,12,11035
310,259.2722222222222,99,False,12,11035
312,267.3322222222222,99,False,12,11035
314,283.6427777777778,99,False,12,11135
316,302.33944444444444,100,False,12,11236
317,313.4344444444444,99,False,12,11300
319,327.0805555555555,99,False,12,11365
319,341.79,99,False,12,11386
320,357.79,99,False,12,11408
321,359.03833333333336,99,False,12,11430
322,382.8305555555556,99,False,12,11482
323,384.0866666666666,99,False,12,11535
326,402.1977777777778,99,False,12,11589
326,406.3633333333333,99,False,12,11618
326,416.68666666666667,99,False,12,11648
326,422.6633333333333,99,False,12,11648
326,431.1755555555556,99,False,12,11649
327,449.8872222222222,99,False,12,11687
329,452.99444444444447,99,False,12,11725
330,467.66111111111104,99,False,12,11755
331,486.6016666666666,99,False,12,11807
333,504.5466666666666,99,False,12,11860
334,505.1033333333333,99,False,12,11885
335,534.4158333333332,100,False,12,11911
335,538.6033333333332,99,False,12,11912
336,549.3366666666666,99,False,12,11914
336,564.27,99,False,12,11968
338,568.495,99,False,12,11994
340,590.6894444444445,99,False,12,12021
339,611.8769444444445,99,False,12,12055
339,628.3561111111111,99,False,12,12089
340,630.7172222222223,99,False,12,12084
341,643.5047222222223,99,False,12,12080
340,666.1713888888889,99,False,12,12105
341,668.5394444444445,99,False,12,12131
342,685.1644444444445,99,False,12,12158
342,698.9394444444446,99,False,12,12153
342,704.1644444444446,99,False,12,12148
342,714.2344444444445,99,False,12,12159
342,719.3644444444445,99,False,12,12171
343,742.2311111111112,100,False,12,12201
343,744.7083333333334,99,False,12,12206
343,765.0977777777777,99,False,12,12211
344,765.671111111111,99,False,12,12221
345,799.5961111111111,99,False,12,12232
345,800.1711111111111,99,False,12,12232
345,821.2544444444444,99,False,12,12232
345,822.5961111111112,99,False,12,12232
345,851.9211111111111,99,False,12,12255
345,857.0002777777779,99,False,12,12278
346,869.2063888888889,99,False,12,12293
347,883.953888888889,99,False,12,12308
346,890.3933333333334,99,False,12,12309
346,903.1761111111113,99,False,12,12311
346,918.5538888888888,100,False,12,12335
346,922.975,99,False,12,12338
346,953.153888888889,99,False,12,12341
346,961.4194444444444,99,False,12,12353
347,984.5527777777778,99,False,12,12365
348,991.7061111111112,99,False,12,12377
348,1011.0394444444446,99,False,12,12366
348,1021.2861111111112,99,False,12,12376
349,1038.1544444444446,99,False,12,12386
343,1050.1594444444447,69,False,12,12322
337,1061.392777777778,39,False,12,12259
332,1068.2172222222223,9,True,8,12196
314,1084.440555555556,6,True,8,11515
297,1085.5955555555558,4,True,8,10834
259,1099.9844444444448,0,True,8,9994
241,1108.4194444444447,0,True,8,9360
224,1113.0238888888891,0,True,8,8727
205,1122.476666666667,0,True,8,8630
187,1130.5280555555555,0,True,8,8533
174,1138.503055555556,0,True,8,8963
161,1149.0127777777782,0,True,8,9393
155,1150.9502777777782,0,True,8,9824
150,1159.0752777777782,0,True,8,10255
142,1165.5836111111116,0,True,8,9925
135,1166.8961111111116,0,True,8,9595
127,1175.3627777777783,0,True,8,8921
121,1175.530833333334,0,True,8,8660
115,1181.760000000001,0,True,8,8399
112,1186.2711111111118,0,True,8,8215
110,1192.382222222223,0,True,8,8031
108,1194.032222222223,0,False,8,7847
106,1203.042222222223,1,False,8,7791
105,1204.617222222223,3,False,8,7735
105,1209.2838888888898,53,False,8,8401
107,1211.2455555555564,50,False,8,8376
109,1215.3027777777786,48,False,8,8351
110,1217.9305555555563,51,False,8,8487
111,1224.097222222223,54,False,8,8623
112,1225.1550000000009,57,False,8,8760
114,1229.145000000001,60,False,8,8851
117,1231.5500000000009,64,False,8,8943
118,1235.680000000001,42,False,8,8864
119,1240.3077777777787,21,False,8,8785
121,1240.7783333333343,0,True,8,8707
118,1246.0227777777786,0,True,8,8597
115,1248.770000000001,0,True,8,8373
112,1252.2855555555564,1,False,8,8149
110,1254.9438888888897,1,False,8,8028
108,1258.3338888888898,2,False,8,7907
107,1260.919722222223,4,False,8,7785
106,1265.4247222222232,7,False,8,7664
106,1265.6308333333343,17,False,8,7835
106,1271.4902777777788,28,False,8,8006
106,1273.6691666666677,39,False,8,8177
107,1278.6030555555567,39,False,8,8397
108,1282.0230555555568,40,False,8,8618
107,1283.9847222222234,49,False,8,8559
107,1289.15638888889,59,False,8,8500
112,1292.4541666666678,66,False,8,8607
117,1298.1091666666678,74,False,8,8714
119,1300.2908333333344,68,False,8,8849
121,1305.668611111112,62,False,8,8984
124,1306.1508333333345,57,False,8,9120
125,1311.9147222222232,50,False,8,9351
127,1313.1141666666676,44,True,8,9583
126,1320.1141666666676,42,True,8,9667
125,1322.4058333333344,44,True,8,9629
125,1325.6697222222233,46,False,8,9592
126,1332.6697222222233,64,False,8,9635
129,1332.8847222222232,66,False,8,9910
132,1339.9980555555564,69,False,8,10185
135,1342.4730555555566,71,False,8,10505
138,1349.1813888888898,74,False,8,10825
141,1350.94388888889,82,False,8,10619
145,1358.999444444445,90,False,8,10413
149,1365.4147222222232,99,False,8,10208
156,1369.0980555555564,99,False,8,10383
163,1374.305000000001,99,False,8,10558
172,1383.8605555555564,99,False,8,11452
176,1384.1050000000007,99,False,8,11590
181,1393.9091666666675,99,False,8,11729
185,1394.166111111112,99,False,8,12017
189,1404.403611111112,99,False,8,12305
194,1410.061944444445,99,False,8,11883
199,1424.4341666666674,99,False,8,11461
204,1426.4175000000007,99,False,8,11040
209,1437.1577777777784,99,False,8,11230
214,1442.8050000000007,99,False,8,11421
218,1451.6461111111116,99,False,8,11643
223,1454.9911111111116,99,False,14,11866
227,1470.5027777777782,99,False,14,11781
231,1475.2511111111116,99,False,12,11696
231,1484.619444444445,99,False,12,11356
231,1488.084444444445,99,False,12,11017
236,1502.9000000000003,99,False,12,11192
241,1509.1927777777782,99,False,12,11368
249,1523.0261111111115,99,False,12,11509
249,1523.4411111111117,99,False,12,11628
249,1540.0411111111114,99,False,12,11747
249,1542.3927777777783,99,False,12,11867
258,1555.7227777777782,99,False,12,11649
268,1568.601666666667,99,False,12,11432
269,1570.619166666667,99,False,12,11212
271,1586.653333333334,99,False,12,10993
273,1597.7250000000004,99,False,12,11068
275,1604.905555555556,99,False,12,11143
281,1623.6388888888896,99,False,12,11343
281,1624.1072222222226,99,False,12,11394
281,1636.5961111111114,99,False,12,11445
